"id","date","displayDateLabel","datePrecision","title","seriesTitle","heading","dateline","type","subjectArea","selection","releaseStatus","extentLabel","classification","naid","localId","sourceNoteStatus","sourceNoteBasis","archivalLocator","topics","notes","catalogUrl","pdfUrl"
"policy-development-509548220","1992-05-13","May 13, 1992","day","[Uruguay Round]: NAFTA Ministerial, Toronto, Canada, May 13-14, 1992 [2]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: NAFTA Ministerial, Toronto, Canada, May 13-14, 1992 [2]","May 13, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Boundary","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548220","CF01120–062","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–062, [Uruguay Round]: NAFTA Ministerial, Toronto, Canada, May 13-14, 1992 [2].","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy; NAFTA boundary","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548220",""
"policy-development-509548207","1992-05-27","May 27, 1992","day","[Uruguay Round]: U.S.-EC Ministerial, May 27, 1992","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: U.S.-EC Ministerial, May 27, 1992","May 27, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548207","CF01120–049","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–049, [Uruguay Round]: U.S.-EC Ministerial, May 27, 1992.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548207",""
"policy-development-509546074","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992]","Charles E. M. Kolb Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546074","06836–007","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Charles E. M. Kolb Subject Files, OA/ID 06836–007, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992].","White House Office of Policy Development; Charles E. M. Kolb Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546074",""
"policy-development-509546420","1992-06-11","June 11, 1992","day","[PCG Working Group]: PCG Group - UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-up","J. French Hill Files","White House Office of Policy Development File: [PCG Working Group]: PCG Group - UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-up","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546420","07270–012","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, J. French Hill Files, OA/ID 07270–012, [PCG Working Group]: PCG Group - UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-up.","White House Office of Policy Development; J. French Hill Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546420",""
"policy-development-509546845","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [1]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [1]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546845","07663–009","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–009, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [1].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546845",""
"policy-development-509546846","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [2]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [2]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546846","07663–010","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–010, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [2].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546846",""
"policy-development-509546847","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [3]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [3]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546847","07663–011","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–011, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [3].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546847",""
"policy-development-509546848","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [4]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [4]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546848","07663–012","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–012, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [4].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546848",""
"policy-development-509546849","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [5]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [5]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546849","07663–013","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–013, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [5].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546849",""
"policy-development-509546850","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [6]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [6]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546850","07663–014","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–014, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [6].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546850",""
"policy-development-509546851","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [7]","Teresa Gorman Subject Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [7]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546851","07663–015","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07663–015, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Follow-Up [7].","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546851",""
"policy-development-509546901","1992-06-11","June 11, 1992","day","Global Warming: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Meeting 1992","Teresa Gorman Subject Files","White House Office of Policy Development File: Global Warming: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Meeting 1992","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546901","07676–007","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Teresa Gorman Subject Files, OA/ID 07676–007, Global Warming: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992] Meeting 1992.","White House Office of Policy Development; Teresa Gorman Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms, global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546901",""
"policy-development-509547877","1992-06-11","June 11, 1992","day","UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992]","Roger Porter Files","White House Office of Policy Development File: UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992]","June 11, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509547877","08854–014","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter Files, OA/ID 08854–014, UNCED [United Nations Conference on Environment and Development i.e. Earth Summit or Rio Summit - June 11-13, 1992].","White House Office of Policy Development; Roger Porter Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509547877",""
"policy-development-509546080","1992-08-31","August 31, 1992","day","PCG Meeting on UNCED Follow-up Monday 8/31/92 2:00 p.m. Roosevelt Room","Todd Buchholz' Subject Files","White House Office of Policy Development File: PCG Meeting on UNCED Follow-up Monday 8/31/92 2:00 p.m. Roosevelt Room","August 31, 1992","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546080","06867–010","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Todd Buchholz' Subject Files, OA/ID 06867–010, PCG Meeting on UNCED Follow-up Monday 8/31/92 2:00 p.m. Roosevelt Room.","White House Office of Policy Development; Todd Buchholz' Subject Files; Global environment","Finding-aid lead retained because of foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546080",""
"policy-development-509548211","1992-10-17","October 17, 1992","day","[Uruguay Round]: Quadrilateral Meetings, Canada, October 17-18, 1992","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Uruguay Round]: Quadrilateral Meetings, Canada, October 17-18, 1992","October 17, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Boundary","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548211","CF01120–053","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–053, [Uruguay Round]: Quadrilateral Meetings, Canada, October 17-18, 1992.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy; NAFTA boundary","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548211",""
"policy-development-509548197","1992-11-23","November 23, 1992","day","[Subject/Country Files:  Taiwan, Carla Hills Briefing November 23, 1992]","Stephen P. Farrar Trade Files","White House Office of Policy Development File: [Subject/Country Files:  Taiwan, Carla Hills Briefing November 23, 1992]","November 23, 1992","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548197","CF01120–039","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01120–039, [Subject/Country Files:  Taiwan, Carla Hills Briefing November 23, 1992].","White House Office of Policy Development; Stephen P. Farrar Trade Files","Finding-aid lead retained because of functional trade or international-economic series. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548197",""
